id,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions
125,creative,Write creative piece about implement payment processing in science context. Engaging style.,medium,66,D,0.4,2,3,3,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
126,image,Create an image of automate data entry processes for sales purposes. Make it look professional.,medium,74,C,0.44,3,2,2,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
127,video,Script needed for implement payment processing video. Educational content for education beginners.,medium,75,C,0.53,2,2,2,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
128,presentation,deck for create social media strategy,low,55,F,0.77,1,1,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
129,image,"Role: UI/UX designer for consulting products.
Task: Design a mockup for write customer case study.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,97,A,0.17,4,4,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
130,other,Strategy for create vendor evaluation criteria in legal context. Recommendations needed.,medium,71,C,0.47,2,2,2,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
131,presentation,Build presentation for optimize database queries. Audience: media executives.,medium,74,C,0.43,2,3,3,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
132,creative,"Role: Creative writer specializing in marketing narratives.
Task: Write a short story opening (500 words) about optimize database queries.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,92,A,0.22,4,5,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
133,video,Plan a video showing create competitor analysis. This is for our government department.,medium,69,D,0.52,2,3,3,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
134,document,write about create budget proposal,low,42,F,0.75,2,1,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
135,document,write about develop security protocols,low,35,F,0.73,2,1,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
136,presentation,analyze website traffic patterns talk slides,low,27,F,0.77,1,2,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
137,report,"Role: Market researcher focusing on operations trends.
Task: Analyze and report on create budget proposal.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,86,B,0.2,4,5,4,5,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
138,image,draw design event invitation,low,55,F,0.85,1,2,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
139,presentation,Slides needed: create employee onboarding materials overview for research team meeting.,medium,81,B,0.52,3,3,4,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
140,post,Create content about build automated testing suite for transportation blog. Informative but casual.,medium,82,B,0.31,2,3,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
141,code,create crisis management protocol thing not working,low,49,F,0.7,1,2,1,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
142,other,Develop framework for analyze customer feedback patterns in design environment.,medium,81,B,0.41,3,3,3,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
143,code,"Role: You are an experienced government software engineer.
Task: Write a Python function to create user authentication system.
Instructions: Use clean code principles, include type hints, and add comprehensive docstrings.
Constraints: Function must handle edge cases and return appropriate error messages.
Output Format: Provide the code block followed by 2-3 usage examples.",high,92,A,0.15,4,5,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
144,post,"Role: Community manager for legal forums.
Task: Draft an announcement post about develop security protocols.
Instructions: Clear, enthusiastic, encourage community participation.
Constraints: Include relevant links, moderate length.
Output Format: Post content + formatting suggestions + reply templates.",high,90,A,0.2,5,5,4,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
145,post,"Role: Social media manager for real estate brands.
Task: Create a LinkedIn post about analyze supply chain efficiency.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,94,A,0.19,5,5,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
